NAME,RANK (2014),RANK (2013),CEO,WEBSITE,STREETADD,PLACE,ZIP,STATE,X,Y
Kellogg Company,198,192,John A. Bryant,www.kelloggcompany.com,1 Kellogg Sq.,Battle Creek,49017,MI,-85.18631379,42.32081186
"Land O'Lakes, Inc.",199,194,Christopher J. Policinski,www.landolakesinc.com,4001 Lexington Ave. N.,Arden Hills,55126,MN,-93.1512504,45.06248803
"ONEOK, Inc.",200,219,Terry K. Spencer,www.oneok.com,100 W. Fifth St.,Tulsa,74103,OK,-95.99179262,36.15062793
Omnicom Group Inc.,201,191,John D. Wren,www.omnicomgroup.com,437 Madison Ave.,New York,10022,NY,-73.97539113,40.75736527
Anadarko Petroleum Corporation,202,207,R. A. Walker,www.anadarko.com,1201 Lake Robbins Dr.,The Woodlands,77380,TX,-95.45368989,30.16060295
"EOG Resources, Inc.",203,233,William R. Thomas,www.eogresources.com,1111 Bagby St.,Houston,77002,TX,-95.37061885,29.75871873
DISH Network Corporation,204,189,Joseph P. Clayton,www.dish.com,9601 S. Meridian Blvd.,Englewood,80112,CO,-104.8562315,39.54598034
Genuine Parts Company,205,214,Thomas C. Gallagher,www.genpt.com,2999 Circle 75 Pkwy.,Atlanta,30339,GA,-84.46986005,33.8954505
"Kinder Morgan, Inc.",206,265,Richard D. Kinder,www.kindermorgan.com,1001 Louisiana St.,Houston,77002,TX,-95.36742247,29.7579597
"Waste Management, Inc.",207,200,David P. Steiner,www.wm.com,1001 Fannin St.,Houston,77002,TX,-95.36388524,29.75590782
The Chubb Corporation,208,202,John D. Finnegan,www.chubb.com,15 Mountain View Rd.,Warren,7059,NJ,-74.56331866,40.64347801
Aramark Holdings Corporation,209,205,Eric J. Foss,www.aramark.com,1101 Market St.,Philadelphia,19107,PA,-75.15848877,39.95199055
Viacom Inc.,210,198,Philippe P. Dauman,www.viacom.com,1515 Broadway,New York,10036,NY,-73.98606516,40.7579351
Las Vegas Sands Corp.,211,244,Sheldon G. Adelson,www.sands.com,3355 Las Vegas Blvd. S.,Las Vegas,89109,NV,-115.1701902,36.12269226
"Dominion Resources, Inc.",212,210,Thomas F. Farrell II,www.dom.com,120 Tredegar St.,Richmond,23219,VA,-77.45173763,37.53397919
Ecolab Inc.,213,229,Douglas M. Baker Jr.,www.ecolab.com,370 Wabasha St. N.,St. Paul,55102,MN,-93.09416029,44.94622129
"Smithfield Foods, Inc.",214,213,C. Larry Pope,www.smithfieldfoods.com,200 Commerce St.,Smithfield,23430,VA,-76.63016589,36.98483924
Thermo Fisher Scientific Inc.,215,220,Marc N. Casper,www.thermofisher.com,81 Wyman St.,Waltham,2451,MA,-71.25810913,42.39986909
"Yum! Brands, Inc.",216,201,David C. Novak,www.yum.com,1441 Gardiner Lane,Louisville,40213,KY,-85.69564746,38.19790263
Parker-Hannifin Corporation,217,211,Donald E. Washkewicz,www.parker.com,6035 Parkland Blvd.,Cleveland,44124,OH,-81.46326656,41.50761644
"Whole Foods Market, Inc.",218,232,"John P. Mackey, Walter E. Robb IV",www.wholefoodsmarket.com,550 Bowie St.,Austin,78703,TX,-97.75289029,30.27063536
"Marriott International, Inc.",219,230,Arne M. Sorenson,www.marriott.com,10400 Fernwood Rd.,Bethesda,20817,MD,-77.14032458,39.02505351
"C. H. Robinson Worldwide, Inc.",220,237,John P. Wiehoff,www.chrobinson.com,14701 Charlson Rd.,Eden Prairie,55347,MN,-93.46088952,44.82081992
"L-3 Communications Holdings, Inc.",221,197,Michael T. Strianese,www.l-3com.com,600 Third Ave.,New York,10016,NY,-73.97579019,40.74931684
Edison International,222,212,Theodore F. Craver Jr.,www.edisoninvestor.com,2244 Walnut Grove Ave.,Rosemead,91770,CA,-118.080646,34.05404807
"Toys ""R"" Us, Inc.",223,204,Antonio Urcelay,www.toysrusinc.com,1 Geoffrey Way,Wayne,7470,NJ,-74.25412944,40.97942661
"Nordstrom, Inc.",224,227,Blake W. Nordstrom,www.nordstrom.com,1617 Sixth Ave.,Seattle,98101,WA,-122.3360196,47.61263918
"Consolidated Edison, Inc.",225,226,John McAvoy,www.conedison.com,4 Irving Place,New York,10003,NY,-73.98832615,40.73414522
"Marsh & McLennan Companies, Inc.",226,228,Daniel S. Glaser,www.mmc.com,1166 Ave. of the Americas,New York,10036,NY,-73.98219063,40.75693179
Texas Instruments Incorporated,227,218,Richard K. Templeton,www.ti.com,12500 TI Blvd.,Dallas,75243,TX,-96.75523516,32.9113777
Textron Inc.,228,225,Scott C. Donnelly,www.textron.com,40 Westminster St.,Providence,2903,RI,-71.40927323,41.82495896
Tenet Healthcare Corporation,229,269,Trevor Fetter,www.tenethealth.com,1445 Ross Ave.,Dallas,75202,TX,-96.80246261,32.78481752
DaVita HealthCare Partners Inc.,230,311,Kent J. Thiry,www.davita.com,2000 16th St.,Denver,80202,CO,-105.0040414,39.75374151
CSX Corporation,231,231,Michael J. Ward,www.csx.com,500 Water St.,Jacksonville,32202,FL,-81.66405418,30.32452524
Lincoln National Corporation,232,235,Dennis R. Glass,www.lfg.com,150 N. Radnor Chester Rd.,Radnor,19087,PA,-75.36453427,40.04120377
"Praxair, Inc.",233,241,Stephen F. Angel,www.praxair.com,39 Old Ridgebury Rd.,Danbury,6810,CT,-73.51625581,41.38858593
PPL Corporation,234,224,William H. Spence,www.pplweb.com,2 N. Ninth St.,Allentown,18101,PA,-75.47590966,40.60152549
"J.C. Penney Company, Inc.",235,215,Myron E. Ullman III,www.jcpenney.com,6501 Legacy Dr.,Plano,75024,TX,-96.83333908,33.07987316
"Peter Kiewit Sons', Inc.",236,243,Bruce E. Grewcock,www.kiewit.com,1000 Kiewit Plaza,Omaha,68131,NE,-96.13391148,41.20271031
Jacobs Engineering Group Inc.,237,249,Craig L. Martin,www.jacobs.com,155 N. Lake Ave.,Pasadena,91101,CA,-118.1328327,34.14851665
Visa Inc.,238,260,Charles W. Scharf,www.corporate.visa.com,900 Metro Center Blvd.,Foster City,94404,CA,-122.2761664,37.55902054
H.J. Heinz Company,239,234,Bernardo Hees,www.heinz.com,1 PPG Place,Pittsburgh,15222,PA,-80.00368638,40.43995961
"CarMax, Inc.",240,259,Thomas J. Folliard,www.carmax.com,12800 Tuckahoe Creek Pkwy.,Richmond,23238,VA,-77.66962365,37.63972348
V.F. Corporation,241,250,Eric C. Wiseman,www.vfc.com,105 Corporate Center Blvd.,Greensboro,27408,NC,-79.79906813,36.12170971
Entergy Corporation,242,261,Leo P. Denault,www.entergy.com,639 Loyola Ave.,New Orleans,70113,LA,-90.07683919,29.94894842
"Automatic Data Processing, Inc.",243,255,Carlos A. Rodriguez,www.adp.com,1 ADP Blvd.,Roseland,7068,NJ,-74.30931107,40.81664086
"NRG Energy, Inc.",244,314,David W. Crane,www.nrgenergy.com,211 Carnegie Center,Princeton,8540,NJ,-74.64508436,40.31874494
Guardian Life Ins. Co. of America,245,238,Deanna M. Mulligan,www.guardianlife.com,7 Hanover Sq.,New York,10004,NY,-74.00947906,40.70412095
Liberty Interactive Corporation,246,270,Gregory B. Maffei,www.libertyinteractive.co,12300 Liberty Blvd.,Englewood,80112,CO,-104.8454863,39.55316146
Norfolk Southern Corporation,247,247,Charles W. Moorman IV,www.nscorp.com,3 Commercial Place,Norfolk,23510,VA,-76.2880211,36.84547804
"Office Depot, Inc.",248,253,Roland C. Smith,www.officedepot.com,6600 N. Military Trail,Boca Raton,33496,FL,-80.12023041,26.40529137
"Ameriprise Financial, Inc.",249,263,James M. Cracchiolo,www.ameriprise.com,1099 Ameriprise Financial Center,Minneapolis,55474,MN,-93.26912621,44.97526438
"Gilead Sciences, Inc.",250,280,John C. Martin,www.gilead.com,333 Lakeside Dr.,Foster City,94404,CA,-122.2816754,37.56702691
Centene Corporation,251,303,Michael F. Neidorff,www.centene.com,7700 Forsyth Blvd.,St. Louis,63105,MO,-90.33456126,38.64956756
Leucadia National Corporation,252,289,Richard B. Handler,www.leucadia.com,520 Madison Ave.,New York,10022,NY,-73.97441362,40.76033692
Huntsman Corporation,253,241,Peter R. Huntsman,www.huntsman.com,500 Huntsman Way,Salt Lake City,84108,UT,-111.8189954,40.75929594
"Health Net, Inc.",254,236,Jay M. Gellert,www.healthnet.com,21650 Oxnard St.,Woodland Hills,91367,CA,-118.6011287,34.17874256
"Stanley Black & Decker, Inc.",255,245,John F. Lundgren,www.stanleyblackanddecker,1000 Stanley Dr.,New Britain,6053,CT,-72.80696983,41.69302057
URS Corporation,256,248,Martin M. Koffel,www.urs.com,600 Montgomery St.,San Francisco,94111,CA,-122.4027292,37.79508194
Xcel Energy Inc.,257,266,Benjamin G.S. Fowke III,www.xcelenergy.com,414 Nicollet Mall,Minneapolis,55401,MN,-93.270268,44.97960081
Bed Bath & Beyond Inc.,258,285,Steven H. Temares,www.bedbathandbeyond.com,650 Liberty Ave.,Union,7083,NJ,-74.30494118,40.69769874
Navistar International Corporation,259,216,Troy A. Clarke,www.navistar.com,2701 Navistar Dr.,Lisle,60532,IL,-88.1076528,41.80996829
Synnex Corporation,260,262,Kevin M. Murai,www.synnex.com,44201 Nobel Dr.,Fremont,94538,CA,-121.9799894,37.49708054
First Data Corporation,261,254,Frank J. Bisignano,www.firstdata.com,5565 Glenridge Connector N.E.,Atlanta,30342,GA,-84.36031011,33.90542043
AGCO Corporation,262,272,Martin H. Richenhagen,www.agcocorp.com,4205 River Green Pkwy.,Duluth,30096,GA,-84.16454984,34.01738463
"L Brands, Inc.",263,258,Leslie H. Wexner,www.lb.com,3 Limited Pkwy.,Columbus,43230,OH,-82.89774399,40.05668742
"Hertz Global Holdings, Inc.",264,293,Mark P. Frissora,www.hertz.com,225 Brae Blvd.,Park Ridge,7656,NJ,-74.06235014,41.03960432
CDW Corporation,265,267,Thomas E. Richards,www.cdw.com,200 N. Milwaukee Ave.,Vernon Hills,60061,IL,-87.94392111,42.23049187
"CST Brands, Inc.",266,0,Kimberly S. Bowers,www.cstbrands.com,1 Valero Way,San Antonio,78249,TX,-98.60637444,29.58421893
Sempra Energy,267,281,Debra L. Reed,www.sempra.com,101 Ash St.,San Diego,92101,CA,-117.1634166,32.71931616
R.R. Donnelley & Sons Company,268,264,Thomas J. Quinlan III,www.rrdonnelley.com,111 S. Wacker Dr.,Chicago,60606,IL,-87.636483,41.88016572
BB&T Corporation,269,251,Kelly S. King,www.bbt.com,200 W. Second St.,Winston-Salem,27101,NC,-80.24517024,36.09575973
Devon Energy Corporation,270,284,John Richels,www.devonenergy.com,333 W. Sheridan Ave.,Oklahoma City,73102,OK,-97.51815362,35.46715948
"Family Dollar Stores, Inc.",271,287,Howard R. Levine,www.familydollar.com,10401 Monroe Rd.,Matthews,28105,NC,-80.73167707,35.1317588
Unum Group,272,257,Thomas R. Watjen,www.unum.com,1 Fountain Sq.,Chattanooga,37402,TN,-85.30693699,35.05049135
Ally Financial Inc.,273,221,Michael A. Carpenter,www.ally.com,200 Renaissance Center,Detroit,48243,MI,-83.03952826,42.32958641
"Reinsurance Group of America, Incorporated",274,275,A. Greig Woodring,www.rgare.com,1370 Timberlake Manor Pkwy.,Chesterfield,63017,MO,-90.52829486,38.64796257
State Street Corporation,275,268,Joseph L. Hooley,www.statestreet.com,1 Lincoln St.,Boston,2111,MA,-71.0584925,42.35280758
"Air Products & Chemicals, Inc.",276,273,John E. McGlade,www.airproducts.com,7201 Hamilton Blvd.,Allentown,18195,PA,-75.59844987,40.55246407
"Ross Stores, Inc.",277,278,Michael A. Balmuth,www.rossstores.com,5130 Hacienda Dr.,Dublin,94568,CA,-121.890069,37.71035142
The Sherwin-Williams Company,278,282,Christopher M. Connor,www.sherwin.com,101 W. Prospect Ave.,Cleveland,44115,OH,-81.69249406,41.49728079
The Estee Lauder Companies Inc.,279,279,Fabrizio Freda,www.elcompanies.com,767 Fifth Ave.,New York,10153,NY,-73.97219718,40.76379424
"BlackRock, Inc.",280,286,Laurence D. Fink,www.blackrock.com,55 E. 52nd St.,New York,10055,NY,-73.97367245,40.75898637
"Western Refining, Inc.",281,283,Jeff A. Stevens,www.wnr.com,123 W. Mills Ave.,El Paso,79901,TX,-106.4890973,31.75891631
"Avon Products, Inc.",282,252,Sherilyn S. McCoy,www.avoncompany.com,777 Third Ave.,New York,10017,NY,-73.97104271,40.75460739
The Mosaic Company,283,246,James T. Prokopanko,www.mosaicco.com,3033 Campus Dr.,Plymouth,55441,MN,-93.45483833,45.01525839
Public Service Enterprise Group Incorporated,284,276,Ralph Izzo,www.pseg.com,80 Park Plaza,Newark,7102,NJ,-74.16851942,40.73745069
Dean Foods Company,285,217,Gregg A. Tanner,www.deanfoods.com,2711 N. Haskell Ave.,Dallas,75204,TX,-96.79217284,32.80542401
Cameron International Corporation,286,310,Jack B. Moore,www.c-a-m.com,1333 W. Loop S.,Houston,77027,TX,-95.45450503,29.75480127
MGM Resorts International,287,292,James J. Murren,www.mgmresorts.com,3600 Las Vegas Blvd. S.,Las Vegas,89109,NV,-115.1765171,36.11301564
KKR & Co. L.P.,288,277,"Henry R. Kravis, George R. Roberts",www.kkr.com,9 W. 57th St.,New York,10019,NY,-73.97479803,40.7636697
Hilton Worldwide Holdings Inc.,289,0,Christopher J. Nassetta,www.hiltonworldwide.com,7930 Jones Branch Dr.,McLean,22102,VA,-77.21512068,38.92809527
DTE Energy Company,290,299,Gerard M. Anderson,www.dteenergy.com,1 Energy Plaza,Detroit,48226,MI,-83.05707789,42.33431683
"Genworth Financial, Inc.",291,271,Thomas J. McInerney,www.genworth.com,6620 W. Broad St.,Richmond,23230,VA,-77.51338952,37.60291119
"Henry Schein, Inc.",292,296,Stanley M. Bergman,www.henryschein.com,135 Duryea Rd.,Melville,11747,NY,-73.41789827,40.76804076
Rock-Tenn Company,293,291,Steven C. Voorhees,www.rocktenn.com,504 Thrasher St.,Norcross,30071,GA,-84.21803115,33.93685264
"WellCare Health Plans, Inc.",294,345,David J. Gallitano,www.wellcare.com,8725 Henderson Rd.,Tampa,33634,FL,-82.54976322,28.0284404
"W.W. Grainger, Inc.",295,295,James T. Ryan,www.grainger.com,100 Grainger Pkwy.,Lake Forest,60045,IL,-87.91115791,42.23639954
Discover Financial Services,296,294,David W. Nelms,www.discoverfinancial.com,2500 Lake Cook Rd.,Riverwoods,60015,IL,-87.89010912,42.15676719
Eastman Chemical Company,297,324,Mark J. Costa,www.eastman.com,200 S. Wilcox Dr.,Kingsport,37660,TN,-82.55038712,36.53545001
"Principal Financial Group, Inc.",298,290,Larry D. Zimpleman,www.principal.com,711 High St.,Des Moines,50392,IA,-93.62758757,41.58856612
Reliance Steel & Aluminum Co.,299,313,David H. Hannah,www.rsac.com,350 S. Grand Ave.,Los Angeles,90071,CA,-118.2515547,34.0514057
"AutoZone, Inc.",300,306,William C. Rhodes III,www.autozone.com,123 S. Front St.,Memphis,38103,TN,-90.05563535,35.1419184
Dover Corporation,301,308,Robert A. Livingston,www.dovercorporation.com,3005 Highland Pkwy.,Downers Grove,60515,IL,-88.00760621,41.83326943
"Micron Technology, Inc.",302,318,D. Mark Durcan,www.micron.com,8000 S. Federal Way,Boise,83716,ID,-116.1492881,43.52951178
"Owens & Minor, Inc.",303,297,Craig R. Smith,www.owens-minor.com,9120 Lockwood Blvd.,Mechanicsville,23116,VA,-77.40858545,37.64438522
"Assurant, Inc.",304,309,Robert B. Pollock,www.assurant.com,1 Chase Manhattan Plaza,New York,10005,NY,-74.00876663,40.70776716
GameStop Corp.,305,298,J. Paul Raines,www.gamestopcorp.com,625 Westport Pkwy.,Grapevine,76051,TX,-97.08749958,32.90264243
Stryker Corporation,306,305,Kevin A. Lobo,www.stryker.com,2825 Airview Blvd.,Kalamazoo,49002,MI,-85.55613352,42.24189511
"Group 1 Automotive, Inc.",307,343,Earl J. Hesterberg,www.group1auto.com,800 Gessner Rd.,Houston,77024,TX,-95.5441731,29.77775241
Cognizant Technology Solutions Corporation,308,352,Francisco D'Souza,www.cognizant.com,500 Frank W. Burr Blvd.,Teaneck,7666,NJ,-74.0059991,40.87281001
"Sonic Automotive, Inc.",309,307,O. Bruton Smith,www.sonicautomotive.com,4401 Colwick Rd.,Charlotte,28211,NC,-80.79713582,35.17692928
"Autoliv, Inc.",310,317,Jan Carlson,www.autoliv.com,1320 Pacific Dr.,Auburn Hills,48326,MI,-83.27425878,42.6944231
Hormel Foods Corporation,311,319,Jeffrey M. Ettinger,www.hormelfoods.com,1 Hormel Place,Austin,55912,MN,-92.96787532,43.68157619
"Motorola Solutions, Inc.",312,304,Gregory Q. Brown,www.motorolasolutions.com,1303 E. Algonquin Rd.,Schaumburg,60196,IL,-88.04803119,42.0696364
"Crown Holdings, Inc.",313,312,John W. Conway,www.crowncork.com,1 Crown Way,Philadelphia,19154,PA,-74.99183498,40.10929654
"SunTrust Banks, Inc.",314,239,William H. Rogers Jr.,www.suntrust.com,303 Peachtree St. N.E.,Atlanta,30308,GA,-84.38671232,33.76274346
Campbell Soup Company,315,338,Denise M. Morrison,www.campbellsoupcompany.c,1 Campbell Place,Camden,8103,NJ,-75.10800073,39.93952195
"Fidelity National Financial, Inc.",316,353,Raymond R. Quirk,www.fnf.com,601 Riverside Ave.,Jacksonville,32204,FL,-81.67448657,30.31914681
"HD Supply Holdings, Inc.",317,330,Joseph J. DeAngelo,www.hdsupply.com,3100 Cumberland Blvd.,Atlanta,30339,GA,-84.4654416,33.87699482
Caesars Entertainment Corporation,318,300,Gary W. Loveman,www.caesars.com,1 Caesars Palace Dr.,Las Vegas,89109,NV,-114.8958253,35.9739368
"Darden Restaurants, Inc.",319,328,Clarence Otis Jr.,www.darden.com,1000 Darden Center Dr.,Orlando,32837,FL,-81.42478483,28.41809685
Weyerhaeuser Company,320,363,Doyle R. Simons,www.weyerhaeuser.com,33663 Weyerhaeuser Way S.,Federal Way,98003,WA,-122.2981477,47.29700469
Ball Corporation,321,301,John A. Hayes,www.ball.com,10 Longs Peak Dr.,Broomfield,80021,CO,-105.1009712,39.91373674
Precision Castparts Corp.,322,355,Mark Donegan,www.precast.com,4650 S.W. Macadam Ave.,Portland,97239,OR,-122.6729118,45.48928907
Masco Corporation,323,336,Keith J. Allman,www.masco.com,21001 Van Born Rd.,Taylor,48180,MI,-83.24253158,42.26795853
"Universal Health Services, Inc.",324,337,Alan B. Miller,www.uhsinc.com,367 S. Gulph Rd.,King of Prussia,19406,PA,-75.36998986,40.07833148
"Republic Services, Inc.",325,323,Donald W. Slager,www.republicservices.com,18500 N. Allied Way,Phoenix,85054,AZ,-111.9304053,33.65453843
MasterCard Incorporated,326,348,Ajaypal S. Banga,www.mastercard.com,2000 Purchase St.,Purchase,10577,NY,-73.71427236,41.02346501
Newmont Mining Corporation,327,274,Gary J. Goldberg,www.newmont.com,6363 S. Fiddler's Green Circle,Greenwood Village,80111,CO,-104.8925437,39.60122713
Broadcom Corporation,328,327,Scott A. McGregor,www.broadcom.com,5300 California Ave.,Irvine,92617,CA,-117.8514574,33.6381884
Reynolds American Inc.,329,316,Daniel M. Delen,www.reynoldsamerican.com,401 N. Main St.,Winston-Salem,27101,NC,-80.24369558,36.09930117
PVH Corp.,330,422,Emanuel Chirico,www.pvh.com,200 Madison Ave.,New York,10016,NY,-73.98280292,40.74893134
"Charter Communications, Inc.",331,340,Thomas M. Rutledge,www.charter.com,400 Atlantic St.,Stamford,6901,CT,-73.53888919,41.05045806
AECOM Technology Corporation,332,320,Michael S. Burke,www.aecom.com,555 S. Flower St.,Los Angeles,90071,CA,-118.2577995,34.05085044
"CenterPoint Energy, Inc.",333,344,Scott M. Prochazka,www.centerpointenergy.com,1111 Louisiana St.,Houston,77002,TX,-95.36788231,29.75723751
Pacific Life,333,369,James T. Morris,www.pacificlife.com,1111 Louisiana St.,Houston,77002,TX,-117.8776944,33.61963239
Thrivent Financial for Lutherans,335,325,Bradford L. Hewitt,www.thrivent.com,625 Fourth Ave. S.,Minneapolis,55415,MN,-93.26615341,44.97529999
"Becton, Dickinson and Company",336,332,Vincent A. Forlenza,www.bd.com,1 Becton Dr.,Franklin Lakes,7417,NJ,-74.20727766,41.01513342
"Franklin Resources, Inc.",337,362,Gregory E. Johnson,www.franklinresources.com,1 Franklin Pkwy.,San Mateo,94403,CA,-122.2933971,37.54247993
Tenneco Inc.,338,349,Gregg M. Sherrill,www.tenneco.com,500 N. Field Dr.,Lake Forest,60045,IL,-87.89953717,42.24867472
TravelCenters of America LLC,339,329,Thomas M. O'Brien,www.tatravelcenters.com,24601 Center Ridge Rd.,Westlake,44145,OH,-81.89383464,41.45701409
"Avis Budget Group, Inc.",340,350,Ronald L. Nelson,www.avisbudgetgroup.com,6 Sylvan Way,Parsippany,7054,NJ,-74.45057462,40.84851875
"Facebook, Inc.",341,482,Mark Zuckerberg,www.facebook.com,1601 Willow Rd.,Menlo Park,94025,CA,-122.1495698,37.48315604
"Dollar Tree, Inc.",342,346,Bob Sasser,www.dollartree.com,500 Volvo Pkwy.,Chesapeake,23320,VA,-76.24148895,36.76982074
Corning Incorporated,343,326,Wendell P. Weeks,www.corning.com,1 Riverfront Plaza,Corning,14831,NY,-77.05988905,42.14579018
Ashland Inc.,344,321,James J. O'Brien,www.ashland.com,50 E. RiverCenter Blvd.,Covington,41011,KY,-84.51019067,39.09034519
Sealed Air Corporation,345,333,Jerome A. Peribere,www.sealedair.com,200 Riverfront Blvd.,Elmwood Park,7407,NJ,-74.12793023,40.89717773
"Core-Mark Holding Company, Inc.",346,368,Thomas B. Perkins,www.core-mark.com,395 Oyster Point Blvd.,South San Francisc,94080,CA,-122.3827647,37.66730982
Oshkosh Corporation,347,322,Charles L. Szews,www.oshkoshcorporation.co,2307 Oregon St.,Oshkosh,54902,WI,-88.54264017,43.9928405
"Coca-Cola Enterprises, Inc.",348,339,John F. Brock,www.cokecce.com,2500 Windy Ridge Pkwy.,Atlanta,30339,GA,-84.45659365,33.9049782
"WESCO International, Inc.",349,385,John J. Engel,www.wesco.com,225 W. Station Square Dr.,Pittsburgh,15219,PA,-80.00648052,40.43450158
"Applied Materials, Inc.",350,302,Gary E. Dickerson,www.appliedmaterials.com,3050 Bowers Ave.,Santa Clara,95054,CA,-121.9787809,37.37762648
Visteon Corporation,351,359,Timothy D. Leuliette,www.visteon.com,1 Village Center Dr.,Van Buren Township,48111,MI,-83.42819853,42.2399909
BorgWarner Inc.,352,358,James R. Verrier,www.borgwarner.com,3850 Hamlin Rd.,Auburn Hills,48326,MI,-83.21079086,42.64584872
"Spectrum Group International, Inc.",353,331,Gregory N. Roberts,www.spectrumgi.com,1063 McGaw Ave,Irvine,92614,CA,-117.8572552,33.70198836
"Oaktree Capital Group, LLC",354,0,John B. Frank,www.oaktreecapital.com,333 S. Grand Ave.,Los Angeles,90071,CA,-118.2520437,34.05277627
"Steel Dynamics, Inc.",355,354,Mark D. Millett,www.steeldynamics.com,7575 W. Jefferson Blvd.,Fort Wayne,46804,IN,-85.23930934,41.04344382
Jarden Corporation,356,383,James E. Lillie,www.jarden.com,1800 N. Military Trail,Boca Raton,33431,FL,-80.12187173,26.36531286
"Mohawk Industries, Inc.",357,442,Jeffrey S. Lorberbaum,www.mohawkind.com,160 S. Industrial Blvd.,Calhoun,30701,GA,-84.94287535,34.47468998
Terex Corporation,358,351,Ronald M. DeFeo,www.terex.com,200 Nyala Farm Rd.,Westport,6880,CT,-73.3297968,41.12578872
Northeast Utilities,359,402,Thomas J. May,www.nu.com,1 Federal St.,Springfield,1105,MA,-72.57767564,42.10919864
"KBR, Inc.",360,334,Stuart Bradie,www.kbr.com,601 Jefferson St.,Houston,77002,TX,-95.37239877,29.75319005
Fifth Third Bancorp,361,361,Kevin T. Kabat,www.53.com,38 Fountain Square Plaza,Cincinnati,45263,OH,-84.38714599,39.09541948
UGI Corporation,362,388,John L. Walsh,www.ugicorp.com,460 N. Gulph Rd.,King of Prussia,19406,PA,-75.40702589,40.0885451
"CBRE Group, Inc.",363,387,Robert E. Sulentic,www.cbre.com,400 S. Hope St.,Los Angeles,90071,CA,-118.2536274,34.05160902
Quest Diagnostics Incorporated,364,341,Stephen H. Rusckowski,www.questdiagnostics.com,3 Giralda Farms,Madison,7940,NJ,-74.43561329,40.75699162
Peabody Energy Corporation,365,315,Gregory H. Boyce,www.peabodyenergy.com,701 Market St.,St. Louis,63101,MO,-90.19248616,38.62668299
The Hershey Company,366,384,John P. Bilbrey,www.thehersheycompany.com,100 Crystal A Dr.,Hershey,17033,PA,-76.64778189,40.303177
Boston Scientific Corporation,367,357,Michael F. Mahoney,www.bostonscientific.com,1 Boston Scientific Place,Natick,1760,MA,-71.37638498,42.30212792
"FMC Technologies, Inc.",368,417,John T. Gremp,www.fmctechnologies.com,5875 N. Sam Houston Pkwy. W.,Houston,77086,TX,-95.51280583,29.93588259
"The Interpublic Group of Companies, Inc.",369,366,Michael I. Roth,www.interpublic.com,1114 Ave. of the Americas,New York,10036,NY,-73.98305728,40.75472661
Commercial Metals Company,370,335,Joseph Alvarado,www.cmc.com,6565 N. MacArthur Blvd.,Irving,75039,TX,-96.95985141,32.89824693
"The Pantry, Inc.",371,347,Dennis G. Hatchell,www.thepantry.com,305 Gregson Dr.,Cary,27511,NC,-78.80476858,35.73196326
"Owens-Illinois, Inc.",372,364,Albert P.L. Stroucken,www.o-i.com,1 Michael Owens Way,Perrysburg,43551,OH,-83.64779811,41.52852864
American Family Ins. Group,373,393,Jack C. Salzwedel,www.amfam.com,6000 American Pkwy.,Madison,53783,WI,-89.28798882,43.15645175
Ralph Lauren Corporation,374,370,Ralph Lauren,www.ralphlauren.com,650 Madison Ave.,New York,10022,NY,-73.97161273,40.76398253
Biogen Idec Inc.,375,454,George A. Scangos,www.biogenidec.com,225 Binney St.,Cambridge,2142,MA,-71.08457661,42.36603347
"PetSmart, Inc.",376,377,David K. Lenhardt,www.petm.com,19601 N. 27th Ave.,Phoenix,85027,AZ,-112.1158999,33.66365664
Mylan Inc.,377,374,Heather M. Bresch,www.mylan.com,1000 Mylan Blvd.,Canonsburg,15317,PA,-80.18727902,40.26257406
Symantec Corporation,378,379,Michael Brown,www.symantec.com,350 Ellis St.,Mountain View,94043,CA,-122.0539054,37.39828914
Ameren Corporation,379,373,Warner L. Baxter,www.ameren.com,1901 Chouteau Ave.,St. Louis,63103,MO,-90.20924347,38.62255437
"The Williams Companies, Inc.",380,342,Alan S. Armstrong,www.williams.com,1 Williams Center,Tulsa,74172,OK,-95.99065737,36.15517536
"Barnes & Noble, Inc.",381,360,Michael P. Huseby,www.barnesandnobleinc.com,122 Fifth Ave.,New York,10011,NY,-73.9921992,40.73830007
"Huntington Ingalls Industries, Inc.",382,380,C. Michael Petters,www.huntingtoningalls.com,4101 Washington Ave.,Newport News,23607,VA,-76.43717583,36.9882406
The Priceline Group Inc.,383,473,Darren R. Huston,www.pricelinegroup.com,800 Connecticut Ave.,Norwalk,6854,CT,-73.45417433,41.09313824
"Agilent Technologies, Inc.",384,371,William P. Sullivan,www.agilent.com,5301 Stevens Creek Blvd.,Santa Clara,95051,CA,-121.9988543,37.32488633
Dana Holding Corporation,385,356,Roger J. Wood,www.dana.com,3939 Technology Dr.,Maumee,43537,OH,-83.69373691,41.56785533
"Dillard's, Inc.",386,378,William T. Dillard II,www.dillards.com,1600 Cantrell Rd.,Little Rock,72201,AR,-92.28777055,34.75463845
Seaboard Corporation,387,411,Steven J. Bresky,www.seaboardcorp.com,9000 W. 67th St.,Shawnee Mission,66202,KS,-94.69095642,39.00816391
"Vanguard Health Systems, Inc.",388,391,Charles N. Martin Jr.,www.tenethealth.com,20 Burton Hills Blvd.,Nashville,37215,TN,-86.82198761,36.09487365
"Casey's General Stores, Inc.",389,392,Robert J. Myers,www.caseys.com,1 Convenience Blvd.,Ankeny,50021,IA,-93.57316711,41.69371445
